学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023000432,女,电子商务,23.09,0.65,40.11,0.79,37.5
2023000433,女,人工智能,31.85,0.81,80.33,0.74,77.46
2023000434,女,大数据管理,32.19,0.62,79.47,0.93,83.84
2023000435,女,工商管理,11.34,0.68,67.68,0.94,77.09
2023000436,男,财务管理,32.8,0.82,75.54,0.76,78.29
2023000437,女,电子商务,19.09,0.91,73.91,0.89,86.71
2023000438,女,财务管理,24.29,0.88,89.72,0.93,73.72
2023000439,男,人工智能,22.91,0.96,69.23,0.81,59.44
2023000440,女,人工智能,7.47,0.8,84.03,0.83,69.66
2023000441,男,工商管理,18.7,0.89,64.0,0.74,68.78
2023000442,女,财务管理,20.32,0.94,73.57,0.79,72.7
2023000443,女,人工智能,27.17,0.85,63.06,0.93,56.82
2023000444,女,电子商务,14.74,0.84,81.16,0.8,71.78
2023000445,女,大数据管理,22.93,0.79,72.4,0.75,60.68
2023000446,男,财务管理,29.09,0.61,87.61,0.76,83.77
2023000447,男,大数据管理,8.27,0.61,82.42,0.98,72.45
2023000448,女,大数据管理,23.45,0.8,89.86,0.91,75.03
2023000449,男,电子商务,18.18,0.63,52.26,0.75,51.71
2023000450,女,工商管理,6.8,0.94,52.48,0.77,45.38
2023000451,女,大数据管理,23.37,0.92,89.71,0.81,82.05
2023000452,女,大数据管理,23.67,0.95,76.63,0.84,84.37
2023000453,女,财务管理,27.71,0.88,88.83,0.96,78.79
2023000454,女,人工智能,24.72,0.73,73.35,0.75,74.99
2023000455,男,财务管理,31.3,0.83,61.55,0.82,67.48
2023000456,女,财务管理,15.73,0.93,50.09,0.79,51.94
2023000457,女,财务管理,24.2,0.92,78.81,0.8,76.58
2023000458,男,人工智能,25.22,0.61,97.07,0.99,77.4
2023000459,男,人工智能,30.55,0.85,66.26,0.95,71.53
2023000460,男,财务管理,17.31,0.93,43.95,0.91,48.33
2023000461,女,人工智能,26.25,0.99,80.34,0.83,95.15
2023000462,男,大数据管理,16.31,0.91,80.37,0.8,74.31
2023000463,男,财务管理,28.44,0.79,53.96,0.88,61.25
2023000464,男,电子商务,18.78,0.8,71.58,0.88,72.14
2023000465,男,工商管理,14.73,0.83,60.0,0.73,59.78
2023000466,男,大数据管理,13.09,0.8,75.79,0.8,66.45
2023000467,男,大数据管理,8.92,0.81,89.53,0.9,80.58
2023000468,女,财务管理,8.1,0.76,58.66,0.77,63.3
2023000469,女,大数据管理,25.01,0.88,94.82,0.97,83.65
2023000470,男,人工智能,7.4,0.67,73.41,0.72,55.99
2023000471,女,工商管理,28.81,0.67,75.24,0.74,71.23
2023000472,男,人工智能,21.79,0.74,81.98,0.71,56.98
2023000473,男,大数据管理,9.04,0.78,72.87,0.82,51.16
2023000474,男,电子商务,12.21,0.72,94.71,0.94,90.34
2023000475,男,人工智能,21.06,0.73,65.13,0.84,79.54
2023000476,男,电子商务,14.11,0.72,80.91,0.99,71.01
2023000477,男,人工智能,15.94,0.76,69.72,0.72,69.88
2023000478,女,大数据管理,6.1,0.76,92.55,0.93,77.6
2023000479,男,大数据管理,22.72,0.8,58.36,0.94,83.36
2023000480,女,电子商务,26.08,0.8,90.48,0.84,91.18
2023000481,女,工商管理,21.01,0.97,67.15,0.72,68.37
2023000482,女,人工智能,17.87,0.89,79.67,0.74,65.33
2023000483,女,人工智能,20.12,0.82,82.87,0.85,63.69
2023000484,女,工商管理,18.1,0.7,71.87,0.73,67.98
2023000485,女,大数据管理,34.84,0.7,63.67,0.77,66.29
2023000486,男,财务管理,27.09,0.95,80.92,0.73,68.71
2023000487,女,财务管理,13.38,0.64,60.69,0.7,51.62
2023000488,女,人工智能,14.36,0.88,94.57,0.75,69.78
2023000489,女,财务管理,26.04,0.76,55.92,0.9,78.45
2023000490,男,电子商务,20.5,0.73,86.15,0.95,85.49
2023000491,男,人工智能,14.25,0.94,82.04,0.75,73.4
2023000492,男,财务管理,22.02,0.89,74.02,0.84,85.48
2023000493,女,大数据管理,10.58,0.78,99.65,0.99,82.38
2023000494,女,电子商务,10.66,0.72,78.56,0.8,59.74
2023000495,男,财务管理,20.42,0.9,85.2,0.83,90.91
2023000496,男,人工智能,24.52,0.68,72.31,0.71,73.39
2023000497,女,电子商务,32.19,0.81,65.96,0.91,67.82
2023000498,女,工商管理,29.12,0.71,74.78,0.97,75.81
2023000499,男,人工智能,12.93,0.81,78.64,0.74,61.43
2023000500,男,工商管理,20.17,0.69,84.09,0.94,65.57
2023000501,男,工商管理,7.72,0.6,83.09,0.75,74.29
2023000502,女,大数据管理,22.71,0.98,76.97,0.93,93.18
2023000503,女,人工智能,13.64,0.72,61.48,0.89,49.59
2023000504,男,电子商务,14.36,0.62,55.76,0.83,61.61
2023000505,男,工商管理,16.05,0.65,90.95,0.84,70.42
2023000506,男,财务管理,27.54,0.75,100.0,0.78,83.15
2023000507,男,电子商务,17.59,0.68,55.88,0.7,52.56
2023000508,女,大数据管理,5.58,0.86,43.88,0.75,40.83
2023000509,男,财务管理,32.9,0.63,69.93,0.9,74.65
2023000510,男,工商管理,27.64,0.73,100.0,0.99,83.59
2023000511,女,人工智能,29.24,0.84,81.87,0.74,81.16
2023000512,女,人工智能,17.93,0.91,91.81,0.91,81.82
2023000513,女,财务管理,11.17,1.0,76.74,0.92,70.58
2023000514,女,人工智能,18.16,0.71,100.0,0.83,75.0
2023000515,男,大数据管理,24.72,0.87,91.7,0.85,79.63
2023000516,女,财务管理,28.53,0.91,59.22,0.96,77.32
2023000517,男,大数据管理,14.32,0.92,58.42,0.85,67.27
2023000518,男,大数据管理,22.43,0.89,75.06,0.85,67.26
2023000519,女,电子商务,14.6,0.9,78.59,0.97,75.37
2023000520,男,财务管理,17.6,0.72,52.56,0.76,63.46
2023000521,女,大数据管理,15.62,0.71,86.79,0.98,62.39
2023000522,女,财务管理,20.27,0.61,84.37,0.83,78.28
2023000523,男,财务管理,27.99,0.7,55.46,0.8,59.33
2023000524,男,大数据管理,12.56,0.62,70.66,0.9,69.26
2023000525,男,工商管理,23.79,0.87,91.18,0.84,77.4
2023000526,男,工商管理,11.03,0.98,81.65,0.99,59.86
2023000527,男,财务管理,16.44,0.8,94.4,0.83,69.4
2023000528,女,工商管理,31.54,0.98,100.0,0.72,91.64
2023000529,女,工商管理,25.87,0.79,98.11,0.91,89.42
2023000530,男,工商管理,24.29,0.67,62.7,0.9,60.3
2023000531,男,大数据管理,5.82,0.68,61.88,0.78,61.76
2023000532,女,电子商务,31.32,0.68,81.01,0.81,67.07
2023000533,女,工商管理,5.18,0.6,60.68,0.78,53.08
2023000534,女,大数据管理,21.03,0.78,81.7,0.77,65.02
2023000535,男,电子商务,31.53,0.95,86.67,0.84,81.51
2023000536,男,工商管理,14.51,0.69,81.64,0.92,72.61
2023000537,男,电子商务,5.0,0.71,87.31,0.85,62.31
2023000538,男,工商管理,5.0,0.79,83.2,0.85,64.99
2023000539,男,大数据管理,22.21,0.83,75.23,0.98,83.67
2023000540,女,人工智能,13.93,0.79,54.56,0.71,51.8
2023000541,女,工商管理,17.55,0.62,71.47,0.8,72.62
2023000542,男,大数据管理,18.14,0.62,79.36,0.98,63.48
2023000543,女,财务管理,14.42,0.99,79.61,0.99,81.35
2023000544,男,电子商务,18.49,0.82,63.53,0.97,79.52
2023000545,女,电子商务,19.96,0.6,97.52,0.82,72.52
2023000546,女,大数据管理,29.22,0.85,87.24,0.88,78.56
2023000547,女,人工智能,18.03,0.83,72.96,0.88,75.93
2023000548,女,工商管理,7.01,0.91,100.0,0.89,78.7
2023000549,女,大数据管理,6.8,0.93,71.03,0.99,71.18
2023000550,女,工商管理,13.07,0.87,68.51,0.76,60.05
2023000551,男,电子商务,14.22,0.61,79.01,0.99,71.4
2023000552,女,人工智能,21.18,0.9,94.2,0.72,80.83
2023000553,男,电子商务,17.82,0.84,75.39,0.81,81.0
2023000554,女,电子商务,16.67,0.93,70.78,0.98,74.53
2023000555,男,人工智能,28.76,0.92,83.6,0.91,86.05
2023000556,女,大数据管理,5.0,0.71,79.01,0.8,60.66
2023000557,男,人工智能,19.83,0.69,100.0,0.81,78.41
2023000558,女,人工智能,18.19,0.97,78.84,0.84,72.03
2023000559,男,工商管理,28.35,1.0,57.62,0.86,73.65
2023000560,女,电子商务,30.03,0.98,92.43,0.75,84.23
2023000561,女,工商管理,31.68,0.84,100.0,0.71,91.14
2023000562,男,大数据管理,31.74,0.91,71.4,0.84,91.98
2023000563,女,大数据管理,23.58,0.72,76.93,0.87,80.74
2023000564,男,大数据管理,26.21,0.72,100.0,0.81,83.73
2023000565,女,人工智能,30.46,0.79,63.14,0.96,81.38
2023000566,男,工商管理,29.24,0.9,56.98,0.76,65.17
2023000567,男,工商管理,27.07,0.84,59.33,0.83,53.42
2023000568,男,财务管理,17.98,0.6,83.32,0.95,65.71
2023000569,女,财务管理,26.36,0.67,79.91,0.75,60.66
2023000570,男,电子商务,27.11,0.9,60.38,0.9,68.11
2023000571,女,财务管理,34.51,0.91,65.67,0.76,75.22
2023000572,男,大数据管理,32.48,0.84,52.88,0.92,77.88
2023000573,男,大数据管理,14.2,0.74,82.7,0.84,75.05
2023000574,女,人工智能,20.91,0.85,94.92,0.72,79.7
2023000575,女,工商管理,26.49,0.79,48.77,0.81,67.8
2023000576,女,大数据管理,15.24,0.65,82.79,0.8,57.79
2023000577,女,财务管理,28.34,0.9,84.13,0.79,83.29
2023000578,男,人工智能,30.28,0.88,76.82,0.76,83.51
2023000579,男,财务管理,6.38,0.83,62.01,0.73,43.84
2023000580,男,大数据管理,24.53,0.62,84.98,0.82,84.98
2023000581,男,财务管理,16.5,0.9,83.01,0.85,78.84
2023000582,女,电子商务,22.12,0.78,84.82,0.84,74.54
2023000583,女,电子商务,20.11,0.7,81.93,0.78,78.29
2023000584,女,大数据管理,18.52,0.74,86.65,0.97,96.66
2023000585,女,人工智能,25.76,0.61,78.31,0.77,74.08
2023000586,女,工商管理,21.16,0.95,58.51,0.82,68.33
2023000587,女,工商管理,28.83,0.85,64.4,0.92,70.02
2023000588,女,大数据管理,26.59,0.67,92.05,0.76,74.54
2023000589,男,电子商务,7.99,0.91,78.62,0.74,75.72
2023000590,男,工商管理,16.88,0.75,89.45,0.82,69.6
2023000591,女,工商管理,21.9,0.69,85.95,0.85,77.54
2023000592,女,财务管理,17.13,0.86,69.62,0.93,66.2
2023000593,女,大数据管理,8.81,0.72,89.37,0.72,75.08
2023000594,男,工商管理,36.09,0.79,49.08,0.81,68.59
2023000595,男,工商管理,18.46,0.98,72.29,0.9,82.04
2023000596,男,人工智能,25.09,0.78,86.93,0.76,75.24
2023000597,女,工商管理,23.02,0.91,65.89,0.94,70.12
2023000598,男,财务管理,26.89,0.92,48.85,0.83,56.94
2023000599,女,工商管理,14.06,0.73,59.87,0.77,55.77
2023000600,女,财务管理,13.71,0.97,75.38,0.83,74.74
2023000601,男,工商管理,22.53,0.92,87.16,0.73,85.41
2023000602,男,大数据管理,16.69,0.85,84.35,0.89,69.04
2023000603,女,电子商务,18.42,0.72,63.93,0.89,72.47
2023000604,女,电子商务,18.88,0.89,60.74,0.87,77.17
2023000605,女,电子商务,32.69,0.81,67.82,0.97,79.71
2023000606,男,财务管理,19.74,0.61,69.49,0.76,80.17
2023000607,男,人工智能,28.3,0.8,88.39,0.71,75.44
2023000608,女,工商管理,29.83,0.73,49.71,0.87,55.01
2023000609,女,工商管理,9.37,0.99,100.0,0.78,75.0
2023000610,男,工商管理,12.83,0.67,61.32,0.76,71.51
2023000611,男,工商管理,13.31,0.76,65.29,0.9,69.86
2023000612,女,大数据管理,14.57,0.85,66.43,0.87,65.92
2023000613,女,电子商务,24.84,0.88,67.7,0.88,74.86
2023000614,女,财务管理,5.0,0.71,72.66,0.81,50.88
2023000615,男,人工智能,23.43,0.61,99.16,0.83,100.0
2023000616,男,电子商务,25.39,0.81,47.73,0.91,63.33
2023000617,女,电子商务,23.34,0.85,71.19,0.82,73.15
2023000618,女,财务管理,22.65,0.66,77.2,0.94,79.56
2023000619,男,财务管理,26.46,0.71,75.13,0.75,76.23
2023000620,男,工商管理,21.07,0.95,93.55,0.79,85.05
2023000621,女,工商管理,21.12,0.84,59.96,0.92,60.72
2023000622,男,电子商务,22.84,0.71,68.25,0.89,73.16
2023000623,女,人工智能,17.66,0.68,51.08,0.76,71.43
2023000624,男,工商管理,5.0,0.78,69.67,0.98,76.49
2023000625,男,大数据管理,24.45,0.62,95.21,0.84,93.84
2023000626,男,人工智能,15.19,0.84,65.32,0.78,60.24
2023000627,男,人工智能,16.36,0.89,92.01,0.85,71.96
2023000628,女,电子商务,40.0,0.85,36.66,0.83,61.66
2023000629,男,电子商务,12.84,0.84,58.04,0.8,60.52
2023000630,男,大数据管理,32.58,0.99,59.81,0.82,80.68
2023000631,女,电子商务,18.29,0.84,78.98,0.79,59.3
2023000632,女,大数据管理,24.6,0.97,59.27,0.96,82.47
2023000633,男,财务管理,23.32,0.78,69.45,0.76,68.3
2023000634,女,大数据管理,26.57,0.81,68.68,0.85,69.43
2023000635,女,工商管理,36.35,0.74,74.44,0.85,72.81
2023000636,女,大数据管理,15.35,0.69,83.78,0.77,58.78
2023000637,女,工商管理,22.91,0.79,96.43,0.85,90.62
2023000638,男,工商管理,14.23,0.95,68.19,0.75,67.37
2023000639,女,财务管理,13.52,0.87,75.15,0.75,57.38
2023000640,女,大数据管理,29.47,0.69,95.58,0.82,75.92
2023000641,女,工商管理,20.13,0.96,89.16,0.94,80.42
2023000642,女,工商管理,15.27,0.73,100.0,0.85,95.39
2023000643,女,大数据管理,30.36,0.95,57.43,0.75,67.6
2023000644,男,人工智能,7.68,0.97,100.0,0.97,75.0
2023000645,女,电子商务,12.6,0.85,66.35,0.98,64.81
2023000646,女,工商管理,5.0,0.84,59.05,0.8,54.04
2023000647,女,大数据管理,10.93,0.64,97.12,0.89,72.12
2023000648,男,电子商务,15.29,0.84,62.1,0.76,62.14
2023000649,女,人工智能,7.48,0.9,80.91,0.95,69.75
2023000650,女,财务管理,26.0,0.88,90.33,0.99,91.3
2023000651,女,人工智能,18.85,0.8,55.57,0.78,75.94
2023000652,女,工商管理,9.91,0.6,99.93,0.74,85.19
2023000653,男,人工智能,9.53,0.74,93.91,0.9,73.92
2023000654,男,工商管理,20.89,0.92,97.4,0.81,76.23
2023000655,女,财务管理,31.57,0.67,74.23,0.8,92.52
2023000656,男,电子商务,22.84,0.75,25.82,0.98,50.8
2023000657,男,人工智能,23.78,0.87,65.83,0.87,70.95
2023000658,男,大数据管理,13.59,0.99,68.66,0.89,69.14
2023000659,男,人工智能,23.21,0.77,38.18,0.73,54.69
2023000660,女,电子商务,20.84,0.88,83.39,0.82,76.45
2023000661,女,大数据管理,15.72,0.82,78.37,0.71,65.09
2023000662,女,电子商务,13.93,0.9,76.64,0.79,65.81
2023000663,男,电子商务,14.06,0.87,51.21,0.93,59.34
2023000664,女,人工智能,32.77,0.73,72.27,0.87,72.93
2023000665,男,工商管理,24.33,0.9,91.68,0.93,80.14
2023000666,女,电子商务,25.42,0.62,69.78,0.78,69.3
2023000667,男,大数据管理,31.35,0.67,42.83,0.92,59.22
2023000668,男,电子商务,16.19,0.81,68.77,0.79,79.0
2023000669,男,大数据管理,22.18,0.61,86.12,0.77,61.12
2023000670,女,工商管理,17.97,0.98,100.0,0.86,95.49
2023000671,男,工商管理,16.25,0.63,54.64,0.98,70.08
2023000672,男,财务管理,12.19,0.92,56.07,0.78,41.45
2023000673,女,电子商务,32.97,0.83,96.49,0.76,86.23
2023000674,男,财务管理,28.03,0.71,62.09,0.77,64.61
2023000675,女,电子商务,26.97,0.89,68.1,0.73,61.45
2023000676,男,电子商务,13.57,0.91,56.45,0.91,55.5
2023000677,女,财务管理,33.21,0.67,51.23,0.78,56.61
2023000678,男,人工智能,22.19,0.75,53.16,0.77,74.1
2023000679,女,电子商务,5.0,0.63,82.33,0.78,73.67
2023000680,女,人工智能,33.39,0.72,99.11,0.78,97.25
2023000681,女,电子商务,17.83,0.78,86.06,0.95,83.82
2023000682,女,人工智能,26.56,0.74,100.0,0.85,78.77
2023000683,男,大数据管理,18.01,0.88,71.65,0.71,64.42
2023000684,女,人工智能,14.95,0.67,100.0,0.96,86.06
2023000685,女,工商管理,23.18,0.91,61.02,0.93,60.37
2023000686,女,财务管理,16.61,0.67,100.0,0.98,89.05
2023000687,女,工商管理,26.76,0.62,94.64,0.92,82.01
2023000688,女,人工智能,27.17,0.93,68.3,0.92,72.76
2023000689,女,人工智能,22.2,0.76,94.41,0.82,87.6
2023000690,女,人工智能,21.09,0.96,79.26,0.99,82.95
2023000691,女,大数据管理,28.68,0.66,68.28,0.9,69.34
2023000692,女,人工智能,18.49,0.67,45.26,0.78,63.07
2023000693,女,大数据管理,18.93,0.87,83.26,0.97,69.9
2023000694,男,电子商务,14.36,0.92,92.19,0.88,85.44
2023000695,男,财务管理,31.74,0.97,94.41,0.74,92.89
2023000696,男,人工智能,17.46,0.82,64.77,0.94,64.92
2023000697,男,财务管理,23.03,0.65,71.18,0.77,71.0
2023000698,男,人工智能,26.8,0.66,34.72,0.99,46.38
2023000699,女,大数据管理,24.14,0.65,79.4,0.79,80.36
2023000700,女,大数据管理,11.99,0.7,89.63,0.87,72.74
2023000701,男,财务管理,8.32,1.0,64.16,0.78,58.11
2023000702,女,电子商务,24.33,0.72,64.67,0.79,75.08
2023000703,女,大数据管理,20.62,0.79,79.09,0.78,67.86
2023000704,男,财务管理,27.2,0.97,73.74,0.7,65.29
2023000705,女,工商管理,34.48,0.62,64.37,0.89,61.84
2023000706,女,电子商务,15.71,0.88,86.45,0.97,83.94
2023000707,男,工商管理,13.57,0.99,68.78,0.78,56.63
2023000708,女,工商管理,7.57,0.8,70.85,0.91,81.06
2023000709,男,大数据管理,15.68,0.8,48.76,0.81,38.93
2023000710,男,人工智能,27.36,0.74,78.44,0.81,88.43
2023000711,男,工商管理,17.2,0.67,75.17,0.8,69.91
2023000712,男,工商管理,18.04,0.64,87.21,0.99,76.26
2023000713,男,电子商务,15.59,0.69,79.68,0.78,65.15
2023000714,男,大数据管理,24.22,0.62,92.31,0.82,82.88
2023000715,女,电子商务,21.88,0.68,80.05,0.96,75.37
2023000716,男,人工智能,16.4,0.8,80.38,0.96,84.11
2023000717,男,人工智能,25.92,0.6,73.42,0.85,72.37
2023000718,男,大数据管理,20.04,0.91,100.0,0.75,86.08
2023000719,男,电子商务,17.0,0.88,66.76,0.79,63.89
2023000720,男,工商管理,26.77,0.98,75.19,0.73,76.22
2023000721,女,工商管理,26.07,0.9,81.57,0.88,82.86
2023000722,女,财务管理,18.77,0.99,90.69,0.95,69.91
2023000723,男,工商管理,32.0,0.61,73.82,0.78,64.71
2023000724,女,电子商务,18.47,0.62,50.86,0.94,64.14
2023000725,女,电子商务,25.5,0.7,80.8,0.81,77.17
2023000726,男,人工智能,29.9,0.67,93.21,0.76,81.79
2023000727,男,工商管理,10.75,0.67,99.69,0.71,76.1
2023000728,男,财务管理,17.04,0.75,82.99,0.79,76.09
2023000729,男,人工智能,18.09,0.79,64.46,0.82,60.92
2023000730,女,工商管理,21.23,0.79,81.88,0.88,70.34
2023000731,男,人工智能,24.74,0.69,100.0,0.95,88.53
2023000732,女,财务管理,12.36,0.91,83.17,0.84,65.38
2023000733,女,电子商务,26.91,0.72,96.1,0.72,85.98
2023000734,女,财务管理,17.74,0.94,71.35,0.99,59.55
2023000735,女,工商管理,23.34,0.87,56.21,0.75,72.02
2023000736,男,大数据管理,37.72,0.69,66.78,0.91,79.1
2023000737,男,人工智能,18.43,0.97,61.48,0.8,68.55
2023000738,女,电子商务,17.66,0.94,88.47,0.8,87.29
2023000739,女,财务管理,9.28,0.81,90.61,0.82,89.45
2023000740,女,工商管理,17.37,0.72,62.89,0.78,70.89
2023000741,男,大数据管理,27.81,0.96,71.6,0.72,61.7
2023000742,男,工商管理,22.19,0.63,73.22,0.74,58.18
2023000743,男,财务管理,5.0,0.98,81.41,0.93,65.83
2023000744,男,电子商务,14.67,0.92,66.54,0.79,66.42
2023000745,女,人工智能,16.76,0.65,68.56,0.75,67.93
2023000746,女,大数据管理,20.38,0.87,70.63,0.93,66.74
2023000747,女,人工智能,15.11,0.69,98.92,0.99,83.93
2023000748,男,大数据管理,26.86,0.71,47.69,0.75,53.64
2023000749,女,大数据管理,32.96,0.85,81.0,0.79,77.44
2023000750,女,电子商务,24.19,0.65,71.52,0.8,59.01
2023000751,女,人工智能,16.1,0.77,75.14,0.82,61.76
2023000752,男,人工智能,39.01,0.76,53.24,0.95,63.55
2023000753,男,工商管理,5.0,0.92,99.13,0.96,74.13
2023000754,男,电子商务,33.88,0.72,92.42,0.9,94.5
2023000755,男,财务管理,24.03,0.72,70.31,0.97,65.2
2023000756,男,财务管理,30.96,0.65,78.89,0.9,96.36
2023000757,女,电子商务,16.36,0.87,66.43,0.76,69.91
2023000758,女,人工智能,19.38,0.97,88.4,0.73,80.87
2023000759,女,工商管理,20.16,0.64,70.85,0.9,61.73
2023000760,男,财务管理,25.99,0.91,76.11,0.95,84.03
2023000761,男,财务管理,11.3,0.99,64.16,0.76,58.97
2023000762,男,人工智能,16.31,0.9,82.48,0.76,75.17
2023000763,男,人工智能,21.16,0.79,72.61,0.87,91.88
2023000764,女,人工智能,28.39,0.81,75.67,0.93,77.42
2023000765,男,财务管理,20.57,0.9,66.16,0.86,78.87
2023000766,女,大数据管理,16.15,0.83,88.25,0.86,71.78
2023000767,男,财务管理,13.81,0.99,67.24,0.96,69.49
2023000768,男,电子商务,31.01,0.61,72.58,0.91,86.83
2023000769,女,人工智能,28.8,0.96,64.01,0.72,67.1
2023000770,男,电子商务,22.08,0.98,82.94,0.74,92.35
2023000771,女,大数据管理,22.09,0.72,100.0,0.96,91.77
2023000772,男,大数据管理,18.09,0.8,75.96,0.8,66.38
2023000773,男,大数据管理,18.58,0.75,61.97,0.87,69.6
2023000774,女,财务管理,32.28,0.95,97.48,0.71,96.48
2023000775,男,人工智能,30.95,0.68,83.87,0.85,84.54
2023000776,女,人工智能,17.39,0.84,75.58,0.83,58.66
2023000777,女,财务管理,23.12,0.83,95.32,0.94,80.28
2023000778,男,大数据管理,19.2,0.92,75.57,0.75,70.47
2023000779,男,电子商务,23.85,0.66,91.34,0.91,80.55
2023000780,女,财务管理,17.15,0.86,57.22,0.96,69.59
2023000781,女,工商管理,20.64,0.75,75.73,0.9,74.37
2023000782,男,大数据管理,38.18,0.89,71.61,0.8,71.95
2023000783,男,电子商务,40.0,0.87,85.82,0.76,89.72
2023000784,女,电子商务,22.81,0.94,72.43,0.79,78.37
2023000785,女,工商管理,20.72,0.95,83.35,0.99,85.7
2023000786,女,工商管理,12.81,0.81,51.96,0.95,68.13
2023000787,女,人工智能,23.81,0.61,100.0,0.85,90.14
2023000788,女,人工智能,12.07,0.94,75.35,0.83,74.23
2023000789,男,大数据管理,16.54,0.99,81.56,0.77,74.86
2023000790,女,财务管理,25.78,0.93,72.35,0.99,65.5
2023000791,女,电子商务,26.27,0.89,79.43,0.95,83.57
2023000792,男,大数据管理,10.62,0.87,66.1,0.81,65.34
2023000793,女,电子商务,21.75,0.63,80.27,0.92,76.44
2023000794,女,工商管理,8.66,0.69,83.56,0.92,58.68
2023000795,男,工商管理,13.05,0.9,60.08,0.92,54.41
2023000796,女,人工智能,23.0,0.9,86.41,0.97,90.97
2023000797,女,工商管理,33.19,0.61,97.12,0.8,86.02
2023000798,男,人工智能,9.83,0.73,59.25,0.97,66.12
2023000799,女,人工智能,9.64,0.61,94.06,0.89,74.55
2023000800,女,大数据管理,24.97,0.79,75.17,0.71,72.69
2023000801,女,人工智能,10.19,0.92,70.13,1.0,77.3
2023000802,男,工商管理,5.0,0.77,75.82,0.84,59.71
2023000803,男,电子商务,5.0,0.98,89.15,0.79,74.54
2023000804,男,财务管理,5.0,0.72,70.98,0.71,55.05
2023000805,女,财务管理,30.12,0.93,56.32,0.99,68.85
2023000806,女,大数据管理,20.2,0.97,89.92,1.0,82.05
2023000807,女,大数据管理,23.71,0.81,78.4,0.94,78.98
2023000808,男,电子商务,16.55,0.77,76.71,0.89,67.59
2023000809,男,财务管理,31.76,0.87,86.91,0.85,93.63
2023000810,男,人工智能,17.12,0.94,84.05,0.85,70.0
2023000811,女,电子商务,14.1,0.91,100.0,0.76,80.52
2023000812,男,人工智能,11.93,0.68,69.84,0.93,61.18
2023000813,男,大数据管理,22.47,0.86,44.3,0.75,68.61
2023000814,女,电子商务,30.95,0.64,78.17,0.99,80.24
2023000815,男,工商管理,28.3,0.72,69.11,0.77,78.5
2023000816,女,人工智能,27.03,0.63,95.67,0.88,73.17
2023000817,女,人工智能,16.69,0.73,75.19,0.82,71.42
2023000818,女,人工智能,16.5,0.93,87.05,0.81,85.27
2023000819,男,财务管理,12.36,0.69,83.85,0.97,73.76
2023000820,男,工商管理,21.26,0.69,70.84,0.75,76.1
2023000821,男,工商管理,25.08,0.72,82.23,0.92,74.32
2023000822,女,电子商务,28.68,0.75,69.67,0.95,84.75
2023000823,男,电子商务,17.21,0.67,86.33,0.94,94.95
2023000824,男,人工智能,17.66,0.67,54.84,0.75,54.6
2023000825,男,人工智能,25.87,0.62,65.29,0.86,64.42
2023000826,男,工商管理,8.14,0.78,67.3,0.9,76.37
2023000827,男,人工智能,34.28,0.88,50.81,0.75,75.81
2023000828,男,财务管理,20.33,0.74,80.04,0.88,70.35
2023000829,男,电子商务,5.0,0.76,86.48,0.74,64.33
2023000830,女,人工智能,18.55,0.61,100.0,0.72,76.94
2023000831,女,人工智能,10.67,0.66,78.89,0.73,53.89
2023000832,男,人工智能,29.16,0.91,47.82,0.94,59.68
2023000833,女,工商管理,10.84,0.9,87.95,0.76,65.46
2023000834,男,人工智能,22.71,0.89,74.57,0.92,69.83
2023000835,女,人工智能,15.27,0.99,77.28,0.77,72.4
2023000836,男,工商管理,22.52,0.85,76.87,0.8,76.22
2023000837,男,大数据管理,28.69,0.63,57.48,0.71,74.19
2023000838,女,人工智能,33.06,0.86,48.18,0.99,61.64
2023000839,女,财务管理,16.62,0.64,84.3,0.88,81.45
2023000840,男,电子商务,7.91,0.65,79.87,0.8,63.62
2023000841,男,电子商务,23.18,0.6,53.09,0.96,61.11
2023000842,女,电子商务,18.56,0.76,60.75,0.93,70.49
2023000843,女,财务管理,23.69,0.71,60.55,0.76,55.68
2023000844,男,电子商务,27.21,0.77,92.85,0.8,86.34
2023000845,男,电子商务,14.5,0.72,73.63,0.94,70.49
2023000846,女,工商管理,22.39,0.67,53.27,0.76,63.08
2023000847,女,人工智能,13.68,0.77,73.37,0.9,71.12
2023000848,男,电子商务,5.0,0.72,74.58,0.7,84.48
2023000849,女,财务管理,5.47,0.93,74.38,0.88,61.05
2023000850,女,工商管理,15.19,0.81,74.92,0.9,66.27
2023000851,男,人工智能,19.3,0.76,71.56,0.88,65.04
2023000852,女,工商管理,28.11,0.94,55.31,0.78,63.45
2023000853,女,财务管理,20.49,0.77,53.41,0.76,54.89
2023000854,女,工商管理,26.01,0.86,64.34,0.72,77.77
2023000855,男,工商管理,5.0,0.99,95.18,0.97,92.94
2023000856,女,大数据管理,11.34,0.93,86.63,0.8,69.86
2023000857,男,人工智能,13.96,0.76,83.76,0.95,67.24
2023000858,男,大数据管理,30.02,0.81,64.1,0.77,74.01
2023000859,男,电子商务,11.97,0.89,67.75,0.86,61.13
2023000860,男,电子商务,29.08,0.93,73.47,0.93,83.78
2023000861,男,财务管理,20.07,0.74,86.97,0.71,76.95
2023000862,男,人工智能,6.92,0.82,78.63,0.75,53.63
2023000863,男,财务管理,19.54,0.71,100.0,0.88,96.15
2023000864,男,工商管理,17.91,0.85,66.01,0.81,81.55
